Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
Future of IT sector?,1cdk00n,2024-04-26,3856,"Jo bhi ho, TCS, Infosys, Wipro etc toh hai hi Grandfather stocks. Looks for those mid cap ITs who are accelerating their pace of sales growth and increasing the headcount.",l1cwoy9,RulerOfTheDarkValley,11,2024-04-26,INFY.NS,1,0,True,4,Positive,Neutral,bullish,1,0
💀💀💀,1jenmeg,2025-03-19,3368,"Tech giant who? There is no indian tech giant in india ! If you say infosys then its service based company , i havent seen they develop anything significant or life- changing technologies ! And on your main question , zomato is still a delivery company who have margin from their so called under wage delivery partner , prove me wrong but zomato / swiggy will have stagnation and eventually fall bcz once consumers realise that they are gonna pay extra to make this company’s profitability everyone’s gonna dump ! People has to earn 10x to ignore their daily wage’s 10% as a food delivery ! You guys need to understand what’s their long term plan ! Eventually hes not son of dhirubhai",mikhpm9,dhruvkas,86,2025-03-19,INFY.NS,1,0,True,5,Negative,Neutral,bearish,-1,0
"How to shoot yourself in the foot, royally!",1fyr1r5,2024-10-08,2155,"Show cause notice? That's a Western Import!! We were ruled by the British so its not our rule, we follow lunar calendar so we don't believe in service. we believe in self service 😘 /s In all seriousness, I am so happy these guys are getting burnt. Ola is the definition of a scum brand and it is the flag bearer of why Indian firms can never be world class. I am looking at all of you: Ola, Flipkart, Bajaj Finance, TCS, Infosys and so many others who think it is okay to exploit their workers as well as their customers while the people on top reap all the benefits. I am not saying that western firm's are faultless but at the very least they are at least a tiny bit more humane. EY and company are an exception",lqwuf0l,[deleted],0,2024-10-08,INFY.NS,1,0,True,2,Positive,Positive,bullish,1,1
AI isn’t just taking jobs… it’s wiping out whole industries.,1nhbo7s,2025-09-15,2072,Buyback is just infy people selling their shares and making money before crash,neaif1s,SierraBravoLima,12,2025-09-15,INFY.NS,3,0,True,3,Negative,Neutral,bearish,-1,0
lil bro works 90 hours/week,1bhorm6,2024-03-18,1894,The thing is narayan saar ki company thi infosys toh woh usme 10 ghnte kaam kre ya 100 ghnte at the end profit unhi ka hona tha . lekin agr mai apni sari health family chorh ke 80-90 ghnte kaam karu isme aur end of the day kisi bhi din agr mujhe fire kar dia toh end me na mere pass company ki hisedari hogi aur na hi woh health 😂.,kvffuu7,jim-jam-biscuit,4,2024-03-18,INFY.NS,1,0,True,5,Positive,Negative,neutral,1,-1
lil bro works 90 hours/week,1bhorm6,2024-03-18,1894,"His money, his choice.... He just spoke his opinion on 70hr/week. Nobody is forcing you to work 70hr/week. Can we just move on from this? He said this because he worked 70hr/week during his working days to start Infosys that went on to employ and made careers of thousands of people. Hence as per his experience, 70hr/week makes sense. His opinion on 70hr/per week may be taken in the wrong way. He is not saying to work 70hrs just for your employer. He is asking to carve out few hrs per week for 70hrs to work on your skills and knowledge. This completely makes sense. Let me tell you, IT is not the only job in the world. There are professions that already demand 70hrs/week work. Police constables on duty, doctors on duty, CAs, sales people achieving their target, our soldiers, field workers work more than their stipulated time. Also roadside vendors like Pani Puri wala, Momo sellers, Tea sellers, Idli/Vada sellers etc all open their stalls early in the morning and close late hours. Don't understand what's wrong with it??? Yes it's common sense, we need to work extra hours to achieve our goals. If you don't want, it's your choice. Nobody forced you. Why to hate someone?? If you are really pissed off with this guy, I have a better idea, Just leave your job or shut down your business and let's open a new IT company named ""Infosys 2.0"" and employ 2.5 Lakh people with revenue in billion dollars. Can you do it??? If not then shut the F up. Its easy to pinpoint someone on social media because Its free🤣 But very difficult to tell me in front of him. When people find the same guy in public, all they do is click a selfie with him & post on Instagram to with tagline "" Feeling humbled to need NR Murthy ""🤣🤣🤣🤣",kvh1jbl,OkChard9101,-6,2024-03-19,INFY.NS,2,0,True,4,Negative,Neutral,bearish,-1,0
Can you believe this company received bids worth Rs 1000 Crore?,1faad4k,2024-09-06,1865,Haan be apple microsoft Infosys mc Donald's coca cola sab aise he start huwa tha.,llx9uir,manju907,0,2024-09-07,INFY.NS,1,0,True,2,Neutral,Neutral,neutral,0,0
Smartest trader of India,1j0q5u2,2025-03-01,1619,"Market 0 => TCS, INFY kal se band ho jayegi. Reliance bhi band. SBI and ICICI bank sab business kal se band.",mfdkqhl,GoldenDew9,339,2025-03-01,INFY.NS,3,0,True,3,Neutral,Neutral,neutral,0,0
Looks like Narayan Murthy was working 70 hours a week just to evade taxes worth ₹ 32000 crores,1egpicz,2024-07-31,1594,"OP is idiot. Gst law is unclear. Officers have no idea, CA are clueless, GST committee is useless. If tomorrow infy falls buy it.",lftsbfi,[deleted],24,2024-07-31,INFY.NS,3,0,True,2,Negative,Negative,bearish,-1,-1
Looks like Narayan Murthy was working 70 hours a week just to evade taxes worth ₹ 32000 crores,1egpicz,2024-07-31,1594,Baaki sab toh thik hai... but infy should look for a better ceo. Pravin Rao or Ravi Kumar S would have been a better option. I have seen Salil doing nothing in result announcements,lfvm8kt,dancingstar_100,1,2024-08-01,INFY.NS,3,0,True,2,Positive,Positive,bullish,1,1
"Kyu Desh ki janta ka 70 hours juice nikalna he, don't they have children to get back to?",1c9auqr,2024-04-21,1564,"INFY ko sell short karne ka sapna, sapna hi reh gya 🥲",l0kd80l,47-AGENT,37,2024-04-21,INFY.NS,3,0,True,2,Neutral,Neutral,neutral,0,0
"Kyu Desh ki janta ka 70 hours juice nikalna he, don't they have children to get back to?",1c9auqr,2024-04-21,1564,"The kind of statements this old fart makes are the ones that ignite the flame of revolutions. India has barely had any revolution except those naxals, and their form of revolution has failed terribly due to bad choices and lack of mass support. But idk, man, people like this Infytard, Mota bhai and his wedding ka syaapa, Kingfisher wala chutiya and his son, yeh sb ek base bna rhe and it'll be easy for any political zealot to just throw our society into flames using their example. I mean, India has had ultra wealthy since ages, Tatas, Birlas, some Punjab based agrarian and descendants of Ranjit Singh's generals but even they never put up this kind of public display of wealth. This is some serious shit if you think about next 15-20 years and where society would degrees to.",l0kit2d,PunkSepah321,7,2024-04-21,INFY.NS,3,0,True,4,Negative,Neutral,bearish,-1,0
"Kyu Desh ki janta ka 70 hours juice nikalna he, don't they have children to get back to?",1c9auqr,2024-04-21,1564,"Bhai kyu na mile usse 4cr uske daada ne mahnat se Infosys banaya hai, aur aaj bhi logo ko extra kaam karwane ka prayaas kar raha hai.",l0kd3qh,EquityPirate,-1,2024-04-21,INFY.NS,1,0,True,5,Neutral,Neutral,neutral,0,0
"Kyu Desh ki janta ka 70 hours juice nikalna he, don't they have children to get back to?",1c9auqr,2024-04-21,1564,"Don't join Infosys, don't buy their share, spread rumours about them and share facts where you can. Infosys is a Land Mafia in Bengaluru known for years as a fraud.",l0kojs7,[deleted],0,2024-04-21,INFY.NS,2,0,True,4,Negative,Neutral,bearish,-1,0
Indians hold 71% of H-1B visas - Trump's Rs 90 lakh fee hits them hardest. Is Trump Crazy ? Why He Hates India So Much ?,1nlw019,2025-09-20,1566,"""Push global talent elsewhere"" Lol, most of these H1B holders are Indian IT coolies from TCS, Infosys, Wipro. Some of them won't even find jobs in India for their skill set, some are useless middle managers who just warm the seat cushions. The actual talented folks are just 0.1% of all H1B visa holders. If anyone thinks all H1B visa holders are some talented top notch people, you are highly mistaken. Trump is putting the brakes on these skill-less IT coolies. The actual 0.1% will still get $100000 sponsorships from companies.",nf9wth7,Express-Slip-5837,8,2025-09-20,INFY.NS,1,0,True,2,Positive,Positive,bullish,1,1
