Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
[YEARLY POST] List down the mutual funds in which you are currently investing?,pwn7r9,2021-09-27,595,"Debt: * Nippon India Arbitrage Growth Direct Plan (redeem and reinvest every year for capital gains) * PPF * PF Equity: * UTI NIFTY INDEX GROWTH DIRECT PLAN * UTI NIFTY NEXT 50 INDEX GROWTH DIRECT PLAN * Parag Parikh Flexi Cap Growth Direct Plan * HDFC SMALL CAP GROWTH DIRECT PLAN * Axis Small Cap Growth Direct Plan (sunsetting*) * SBI BLUE CHIP GROWTH DIRECT PLAN (sunsetting*) sunsetting - redeeming whenever I can, aiming for least tax/load hit. Please share views.",hekikgd,namednone,2,2021-09-28,SBIN.NS,1,0,True,2,Positive,Neutral,bullish,1,0
[YEARLY POST] List down the mutual funds in which you are currently investing?,pwn7r9,2021-09-27,595,Axis long term equity fund Axis mid cap fund Dsp equity opportunities Dsp taxsaver fund Icici pru bluechip fund Icici pri long term equity fund Icici pru value discovery fund Invesco India growth opportunities fund Invesco India taxplan Mirae asset large cap fund Motilal oswal nasdaq 100 fund of fund Pgim India mid cap opportunities fund Quant active fund SBI bluechip fund SBI magnum global fund Nippon India Liquid Fund I need advice. Is it correct to invest in many funds or stick to few. I got good returns from all funds over years.,hei6b51,bhagravi123,3,2021-09-28,SBIN.NS,2,0,True,2,Positive,Neutral,bullish,1,0
[YEARLY POST] List down the mutual funds in which you are currently investing?,pwn7r9,2021-09-27,595,Equity SIP: Axis Blue Chip Mirae Asset Emerging BlueChip Adhoc Monthly investments: Parag Parikh Flexi cap fund ICICI Prudential Sensex Index Fund UTI Nifty Index Fund ICICI Prudential Technology Nippon India Pharma Fund Axis Small Cap Tata India Consumer Fund SBI Blue Chip. (Stopped adding to it and went for sectoral bets above) Debt: ICICI pru ultra short term Debt - Very small Lumpsum. Will close and move to PPF after it reaches 3 years Plan to reduce the funds after they reach LTCG status. Any advice welcome,hejytsj,AneelllK,1,2021-09-28,SBIN.NS,1,0,True,3,Positive,Neutral,bullish,1,0
"Curious case of CRED coins usage, is it really BREAD app",ms06v6,2021-04-16,492,"My mom uses an SBI credit card. She pays her bills in the SBI cards site. Over the last 2-3 years, we've accumulated many points using which we bought kitchenware(Knives set from Victorinox), suitcase (Victorinox) and many 500-1000 rupees coupons for Flipkart and Amazon. Although the UI is not as smooth as CRED, we got ACTUAL rewards that were worth something. So I would prefer that shitty UI any day as long as I get real rewards and not the trash listed on CRED.",guqiby4,mydickupyourmomsass,0,2021-04-16,SBIN.NS,2,0,True,3,Positive,Positive,bullish,1,1
I found this solid PPF advice and want to share with this community,1lsg1ha,2025-07-05,493,"To all the peeps who might not know and to addon to OPs post - Tip 1: You don’t add money in PPF, when it’s about time to submit investment forms ( Jan - Mar) but instead deposit it in start of financial year I.e. April so that you can get interest for the full year. Tip 2: This is super wisdom 🦷 tooth - never make the mistake of transferring funds on 1 Apr. 1 Apr is bank reconciliation day and amounts are returned back. This may go unnoticed specially if it’s a bank like SBI and leads to a penalty if not reinitiated. Tip 3: You can make a partial withdrawal, if needed for an emergency 🆘 however, you must not default on yearly payment. I.e. every year you must make a deposit of atleast Rs 500 but don’t make the mistake of skipping putting money in a financial year Tip 4: This may not be true now because tax regime has changed but 1.5L is the total tax benefit one could claim in old regime for general savings .. so rather than putting money in different baskets or claiming deduction from various sources, it’s best to put the full 1.5 L at one go to your PPF in Apr itself. This helps to make a huge difference in interest that you are going to earn..and your corpus is secure at one place.",n1iprly,CreativeArtist01,111,2025-07-06,SBIN.NS,1,0,True,3,Positive,Positive,bullish,1,1
Still on the fence about passive investing? This one's for you,kgqjvg,2020-12-20,471,"Thanks for helping us with this great article! What is a decent portfolio size to start looking at diversification ? How many satellite funds can be present in the portfolio? Most of these kind of funds are cyclical and requires immense patience to see them grow once cycles end and makes really difficult to plan exit. Well, i made the beginner mistake of multiple satellite funds(nippon, icici pharma and sbi banking and fin) during 2020 and stopped once market peaked in Feb 2021. While i almost regret that but they have made a decent returns.",gxmei0l,Horror_Fruit_007,2,2021-05-10,SBIN.NS,1,0,True,3,Positive,Positive,bullish,1,1
Still on the fence about passive investing? This one's for you,kgqjvg,2020-12-20,471,"u/crimelabs786 this is a nice write-up. I have recently started investing in an index fund and I was planning on moving the others as well. I am pasting my comment from a previous post here hoping to get your thoughts on the same. Let me know whats you thing 29year old, married. \~1.3L per month salary. **Right now my investments are as below:** * Canara Robeco Equity Tax Saver Growth Direct Plan -2,500/month * ICICI Prudential US Bluechip Equity Growth Direct Plan - 9,000/month * L&T Midcap Growth Direct Plan - 5,000/month * SBI Blue Chip Growth Direct Plan - 6,000/month * UTI Nifty Index Growth Direct Plan- 12,000/month * PF employee contribution-10,000/month * PF Employer contribution - 10,000/month **What I am thinking of doing:** * Canara Robeco Equity Tax Saver Growth Direct Plan -2,500/month * ICICI Prudential US Bluechip Equity Growth Direct Plan - 9,000/month * UTI Nifty Index Growth Direct Plan- 13,000/month * UTI Nifty next 50 - 13,000/month * PF will continue as is as it's taken from salary.",gqf2t6t,aswinrulez,1,2021-03-10,SBIN.NS,1,0,True,3,Positive,Positive,bullish,1,1
"Axis Bank has suddenly decided to raise its charges and minimum balance requirements to preposterous levels, what other bank do you suggest?",mj17s3,2021-04-03,424,"SBI is anyways a good choice in comparison to other public banks. I will however, add something which might not be relevant to this threa. Feel free to ignore it. I have 3 bank accounts: ICICI, Indian Bank (Allahabad Bank) and PayTM Payments Bank. I have a wealth account with ICICI so almost everything is free except for debit card fees. Indian Bank because I have a locker with them and PayTM Payments Bank because of FDs and very smooth payments experience. ICICI Bank is the oldest and in 19 years I have not faced any single issue. For me this is the primary account. Indian Bank is pathetic. Bad customer care, bad mobile app which never works and bad branch experience. PayTM Payments Bank is a delight and I keep only 1 lakhs (as it is the limit) for expense payments (UPI, NEFT, IMPS). ICICI bank does not charge for SMS yet (my wife has a normal savings account) but they do have 10K limit. Indian Bank has Rs. 500 limit and PayTM Bank is free except for debit card fees, if you want a physical card. I can vouch for ICICI and PayTM Bank as I never had a problem with them. ----------- These are the signs to come. All private banks will be increasing their service charges and decreasing their interest on savings instruments (heard it from a bank manager) as RBI has tightened the noose and has asked all banks to make digital payments free for all. The safest option right now, for someone who does not want to pay lot of charges, are public sector banks. But there are trade offs.",gt7w79q,gaurav_ch,81,2021-04-03,SBIN.NS,1,0,True,3,Positive,Neutral,bullish,1,0
"Axis Bank has suddenly decided to raise its charges and minimum balance requirements to preposterous levels, what other bank do you suggest?",mj17s3,2021-04-03,424,"Like you, i also use axis bank as primary bank as it was my first salary account, i have been a priority customer of them for over a decade now. Haven't had any charges charged and I don't think these changes apply to priority customers. Whenever I visited the nearest branch, have been able to get things done easily. Unlike my experience in karnataka bank or sbi bank.",gt7x86u,darthveda,10,2021-04-03,SBIN.NS,1,0,True,2,Positive,Positive,bullish,1,1
"AMA with the Zerodha core team - August 2, 2025",1mfhax9,2025-08-02,383,"My dad had two demat accounts under HDFC and SBI. Although there were nominations in both, it was a big hassle trying to complete the process. The issues that I faced were- 1. No one-stop information centre on how the nominee can claim it. 2. No one-stop information centre on how the nominee after transferring the deceased's assets get information on buy price, buy date etc. This made me vow to stay away from SBI and HDFC's brokerage entities even tho we had a relationship value of 10Cr+ with both. Please make sure you have those two information available somewhere very accessible and if possible please do let new onboarders know about it.",n6hpe9l,lizrojer,2,2025-08-02,SBIN.NS,2,0,True,2,Positive,Positive,bullish,1,1
BIG news - HDFC Bank gets dinged big time for outages,k5rve9,2020-12-03,365,"To those saying HDFC Bank/SBI don’t invest in IT - they are probably one of the biggest spenders on IT in India. Their expenditure on IT would be greater than most Indian fintechs combined. The problem is they are filled with mostly incompetent people who have no accountability. They would rather spend millions with Oracle/IBM because of their relationships, than innovate & take help of Indian fintech/IT ecosystem. Source: I have consulted at most of the major banks in India.",gehysda,audacious_hrt,11,2020-12-03,SBIN.NS,1,0,True,3,Positive,Positive,bullish,1,1
BIG news - HDFC Bank gets dinged big time for outages,k5rve9,2020-12-03,365,"thats the dumbest analysis i heard. Outages dont drive customers away, if thats a reason SBI & YesBank would be ded by now. hacking & loss of money would lead to customer loss, bad loans is big news. not outages.",gehf7sc,[deleted],5,2020-12-03,SBIN.NS,1,0,True,2,Negative,Negative,bearish,-1,-1
